index,context,target,output,neg1,neg2,neg3
2,i tell jokes on stage.,i date a lot of girls.,"Great, does that get you a lot of ladies? I love meeting new women.",I take my canine on walks.,"I buy my dog a dog treat about treats, which he often likes to eat when he's not allowed on stage.",I buy my dog treats everytime he jokes.
3,i tell jokes on stage.,i date a lot of girls.,I talk about the women I have dated in my jokes.,I am currently unemployed.  I am currently working to become a comedian.,"I like to make jokes, which I've started with a variety of actors.",I don't have as many friends because I'm not funny.
4,i enjoy eating to match my work out.,"i eat healthy and do not eat cakes , candy or sweets.",Food keeps me healthy.,It is so much easier now that I am a professional chef.,I eat unhealthy when working out.,I have to leave early in the morning because my job prevents me from working longer in the morning.
5,i enjoy eating to match my work out.,"i eat healthy and do not eat cakes , candy or sweets.","Eating healthy is good for your body.  I don't eat cakes, candy, or sweets.",My job allows a very healthy diet as a result.,I like to eat out with my family,I like to take my lunch and eat at work.
6,i enjoy eating to match my work out.,"i eat healthy and do not eat cakes , candy or sweets.",I look for protein after exercising.,My favorite food is chicken and I like to keep a calorie loss going which I can get from exercise.,I eat lunch in the theater.,I eat to match my workout habits.
8,i work as a scientist.,my parents were scientists.,I think what our parents do has a great effect on what career we choose.,I have a pet reptile.,I work as an animal caretaker.,I can't have a pet since I'm a veterinarian.
9,i have my own salon.,i live on a boat.,There is a person who runs a salon from his boat.,My salon has a lot of equipment to help me exercise.,I like to go to concerts in my studio.,I like to stay in shape to work and have a body that matches my height.
10,i like steak.,apartment living was nice but it is time to move on.,"I prefer chicken over steak. So where are you moving? To another apartment, or are you getting a home?",I like going out to eat.,My mother taught me to love vegetables.,I used to buy steaks when I was younger.
11,i like steak.,apartment living was nice but it is time to move on.,"I only like my steak grilled, but I haven't had an outdoor grill what with living in an apartment. Maybe it's time I moved into a place with a lawn.",I like steak with my eggs.,I like to cook eggs.,I like my eggs with steak.
12,i like steak.,apartment living was nice but it is time to move on.,I live in a great neighborhood with a nice steakhouse around the corner.,I like to cook a whole steak with some vegetables.,I do too.,I love steak at the highest temperatures.
13,i went past my masters and have higher qualifications in the books and letters of rome.,my sibling believes they are a buccaneer.,I have high qualifications in pirate history.,I graduated with a perfect score in the history section.,"When I'm not traveling, I stay in the city.",I have a better education.
14,i went past my masters and have higher qualifications in the books and letters of rome.,my sibling believes they are a buccaneer.,I think people should live like their school mascot.,"I have met people who have never been able to read so I am very proud of my educational accomplishments,",I did not reach such a high level in education.,"I think I have a higher chance of getting a better job than many children, so I was just wondering if I should study or try to go to school."
15,i went past my masters and have higher qualifications in the books and letters of rome.,my sibling believes they are a buccaneer.,"I was lucky to even make it to college, as it wasn't a priority in my family.",I like to keep my mind busy in between class.,My masters is in politics.,I love sports but I don't have the time to stay active.
16,i am happy a lot of the time.,"lina , my greyhound , is a source of constant affection.",Most of the times I’m happy because of the constant affection from my dog Lena.,I was sad when my mom passed away.,When I'm not sad I'm happy.,"My mom always said I was exciting, but she also had a crush on me who she liked."
17,i am happy a lot of the time.,"lina , my greyhound , is a source of constant affection.",I am happiest when I am hanging out with my dog.,I play video games with my family.,"I play every single game I can, even though I do not have any type of computer or internet.",Me too! Do you like to play video games?
18,i am happy a lot of the time.,"lina , my greyhound , is a source of constant affection.",having pets helps in making me happy,I love playing classical music.,That makes me happy to hear that I can also play piano I love music.,I also like to play piano.
20,i would like to work for the smithsonian.,i hate winter and the cold.,I have a dream of working in Yellowstone National Park during the winter.,I also want to work for the Smithsonian.,I work in the Smithsonian and it is difficult to get anywhere.,I like getting to work.
21,i would like to work for the smithsonian.,i hate winter and the cold.,"I wouldn't want to work in D.C., though.",I would like to work at the Smithsonian.,My job involves drawing a lot.,I would like to do an art work.
22,i would like to work for the smithsonian.,i hate winter and the cold.,It'd be nice to be in Washington - the weather's usually pretty good there.,I travel for work on my off time.,The Smithsonian is really nice and a lot of nice new stuff to look at.,I want to travel to the Smithsonian and meet people.
23,i hate overtime.,i take care of people.,I believe my recent career change helped me not to mind longer hours.,I love overtime and wish i could find a better job.,I get paid for my labor.,"I have a very bad habit of working overtime, because I spend so much time studying."
24,i hate overtime.,i take care of people.,I hate when I have to work overtime.  I have to take care of my crew and make sure they don't get overtired.,I've never had to work overtime either. I like snow and ice.,I hate having to work for overtime!,I like overtime.
25,i hate overtime.,i take care of people.,I don't like overtime either becuse I would rather spend my time doing what I like to do which is taking care of people.,"I sing songs of different genres during my work hours, and when I'm home I sing songs about my favorite genre, which I like to perform.",I also find that boring.,I always think of the song in my head as a time lapse!
26,my canines stay at my residence alone when i travel to see family.,i own a car.,I don't have any pets.  I don't think I'd like them in my car.,Dogs and cats are the most expensive pets I had to care for.,My dog stays at my grandparents home that I rent while he is sick,"I don't have pets, but I love keeping them at home when I go to the pet store or shopping."
27,my canines stay at my residence alone when i travel to see family.,i own a car.,"It's a new car and I won't let my dog inside because he'll get hair everywhere, so he also has to stay home alone when I go driving.",I don't like to travel alone.  My cats stay there when I go visit my family.,I have a dog.,We like each other much more when we're alone in our homes.
28,my canines stay at my residence alone when i travel to see family.,i own a car.,My dogs simply cannot come with me.  They are too big for my small car.,My dogs stay in the house when I travel but I can't have them alone.,When my dogs roam outside they go to the beach.,"When I am not traveling, I like to go to the mall with my dogs."
29,i am a woman.,we have a dog.,I am a female pet lover.,I like to listen to bands and listen to music when I am going through a tough time.,The band is the best in my book.,I enjoy listening to women talk.
30,i try to keep active.,i am a server on the weekends.,"That's cool, I like to bike to work to be more active, what do you do for work?",I work as a dancer as well,I try to stay active too.,"I am also pursuing my acting career, but it takes me about a year to learn all the skills I want."
31,i try to keep active.,i am a server on the weekends.,Keeping active is very important.  That is why on the weekends I work as a server since it keeps me moving.,I work with a lot of people who have a lot of work to do.,I see my mom work as a cosmetologist.,Being active as a mom is good.  I don't have many kids.
33,i have a lot of kids.,i am making a scarf for my daughter.,This year I will be making scarfs for all my daughters and hats for the boys.,My kids were born into the post graduate world.,"I do too.  I have kids too, my youngest two kids are in college.",My family has always had multiple children.
34,i have a lot of kids.,i am making a scarf for my daughter.,I make scarfs for my kids.,I like having a lot of kids.,I was able to absorb all the children's books I could while pregnant.,I have a lot of kids and a lot of them absorb written material.
35,i have a lot of kids.,i am making a scarf for my daughter.,I guess the cool thing about having kids is that they are like little people/adults in a sense.,That's a lot of kids to hate to be alone with.,I see the world as family.,When I'm not carrying them around I'm busy dealing with the stress of being a parent.
36,i have a lot of kids.,i am making a scarf for my daughter.,I like to make things for my kids.,I also own a pet reptile.,"That's cool, do you want to pet them?",I let my kids play in their pets'enclosures while I'm at work.
37,i have a lot of kids.,i am making a scarf for my daughter.,I only have a daughter.  I'm making a scarf for her.,It is hard to keep up with all of them and I don't have much free time.,It's all relative.,I want to be an accountant because I have a lot of kids
38,i have a lot of kids.,i am making a scarf for my daughter.,"For my other three kids, I'm making them all sweaters. I have a lot of kids and can't afford to buy them all presents, so I make them presents.",I'd rather have my kids be healthy than fat at any age.,I try to keep food away from my kids.,I get really sick with allergies which is why I choose bread.
39,dolls are fun to play with.,my child cannot see.,I help my blind child learn about things by using educational dolls he can touch.,My dog loves the treats he gets from my dogs.,My girl is obsessed with dogs.,I have two dogs but no money.
40,dolls are fun to play with.,my child cannot see.,My daughter enjoys feeling the facial features on her dolls.,"Me too, I enjoy drawing dolls.","I'd love to work at McDonald's but after all the other jobs I want to do, I have too many toys for myself.","Me too, but with my little brother."
42,i am not a good artist.,i like soccer.,"To be a good artist, one needs the talent. Although I don't have the talent of sport, I like soccer.",I like to help people learn about art by taking a class.,I'm too lazy to use any kind of tools.,I've done that before.
43,my mom is the best baker in my family.,i am in my second year of medical school.,My family are all doctors who aren't good at baking.,My family are good cooks and chefs so they are always on the cutting block when it comes to recipes.,My mom is great and my dad is great.,"she cooks for me.  she is great, but she doesn't have a job right now."
44,i enjoy playing tennis.,my favorite place to go is the mall.,I enjoy going to walk in the mall.,i find it relaxing.,"I have always loved to play tennis, and I want to become a cosmologist one day, but I haven't quite figured it out yet.",I also like reading about what kind of cosmologist you can find through your mother.
45,i enjoy playing tennis.,my favorite place to go is the mall.,I am into indoor activities.,I like to memorize lines.,I'm always playing tennis.,I like to play tennis a lot.
47,i really enjoy doing vocals with the band.,i am a parent twice both children are young.,"I used to do that when I was younger. Now I have two kids of my own and they adore music, too.",I love cold weather!,I like to chill by my friends who live in Florida,My condition also makes me very uncomfortable.
48,i really enjoy doing vocals with the band.,i am a parent twice both children are young.,i remember being in a band when I was a child.,I love baking.,I really like writing songs for the band because it's good to have a hobby.,I can sing a lot of songs with the band.
49,i really enjoy doing vocals with the band.,i am a parent twice both children are young.,Band practice is hard sometimes when you have a family to take care of.,I have some musical ideas about animals in my head.,I get to work with animals a lot.,I really enjoy singing and listening to animals when I am not working with them.
50,i am a cat owner.,i love to travel.,I want to visit the cat cafe in Portland.,My mom taught me how to play the cello when I was little.,I learned some musical skills from my mom.,I like to learn new things by having a cat play the cello with me.
52,i found my spouse at a musical performance by a boy band.,i have an older brother and an older sister.,My brother is in a boy band.,I've never met my husband.,I love musical performances.,That's cool. I like to stay involved with my hobbies.
53,i found my spouse at a musical performance by a boy band.,i have an older brother and an older sister.,"That's cool! I met my current husband through my brother, do you have any siblings?",My husband is an actor.,I married an actress that I met at a musical performance.,"I was the boy band student in the night class, which taught me about musical relationships."
54,i found my spouse at a musical performance by a boy band.,i have an older brother and an older sister.,My siblings were not supportive of our relationship,"My husband showed me The National's new single, and I have to ask him what he is singing about.","I wish my spouse looked like that,","I had him too, at the music school I found my husband at."
55,i enjoy clothing with logos on it.,the temperature here is quite brisk and yet it is gorgeous after the thaw.,I have just been getting Wintet clothing since the temps here were much colder than usual for a few days.,I have a couple of logos on my clothes.,I have a lot of fond memories of spending hours wearing that logo shirt to school when I was little.,I've been shopping for a sweater with a logo printed on it when I was shopping for a new piece of clothing with a logo printed on it.
56,i enjoy clothing with logos on it.,the temperature here is quite brisk and yet it is gorgeous after the thaw.,"I have a few name brand shirts, but it's really too cold to wear them outside right now.",I work in a store in California.,I will be attending college in California.,I'm going to college in California.
57,i enjoy clothing with logos on it.,the temperature here is quite brisk and yet it is gorgeous after the thaw.,I wear my logo sweatshirt in the cold weather outside.,I bought my first car recently and I love it.,I hate logos.,I bought my first car because I like driving.
58,i lost one of my parents a while ago.,it is difficult for me to connect to others.,Losing a parent can cause a lot of stress.,"If you have to get a job in tech, do you have to get a job in tech.",It is hard doing your parent's job.,"I love technology, do you like it?"
59,i lost one of my parents a while ago.,it is difficult for me to connect to others.,I know I am affected by my parents dying when I was very young.,I know many people who have lost parents. I have a small family,I was just looking for friends to play with.,i used to play Halo a lot as a child.
61,in reality i am 32 and live at home with my mother.,i miss my dad.,Both of my parents died.,I have been studying to become a professional physician since I was younger.,I'm a teacher so I have to stay home.,I am a parent of 2 young children.
62,we have a dog.,my parents are still married.,I also have a dog. I adopted it when my parents got divorced.,My dog was never very good at expressing herself though. She had to be restrained.,We teach kids how to dog.,We have a dog.  I like to make sure we get the dogs to participate in positive things like crafts and such.
63,we have a dog.,my parents are still married.,My parents let me have a dog when I was a child.,I had a dog.,"I'm a boy, but we have a dog, which is a girl.",We named her after a girl in the band chick.
64,we have a dog.,my parents are still married.,My parents have the same dog that they had 10 years when they first got married.,"My dog's called boat and I boated with him today, so I love to do it on my fishing boat when I have a spare moment.",We often take our dogs to the pool when we go boating.,I like to have a dog with me when I am on a boat.
65,i visited europe in june.,i have a basic job.,"A lot of people think international travel is expensive, but even my very basic job allowed me to budget for it.",I like to go to the countries other than the USA because it's fun to explore.,I've never been to Europe.,"I like soccer too, but I can only go to Europe whenever I am going to the beach."
67,i visited europe in june.,i have a basic job.,I can't go to Europe because my job doesn't pay me enough.,i like to go to the parks.,I lived in Europe for a year but I don't really like to go there. I prefer to stay in bed.,I don't wake up early because I stay up to avoid the possibility of waking up early and staying up late!
68,i am a grandmother.,i have been a wife for a short amount of time.,I am a newlywed with a grandchildren.,I collect stamps in my grandmother's collection.,I collect stamps to show to my family to give them gifts for their upcoming birthday.,My family is rich and I collect stamps.
70,i am a grandmother.,i have been a wife for a short amount of time.,I got married for the first time.,"I am not very great at acting. In fact, I prefer to just act alone.",I like to see my grandkids play with me.,I prefer to act out in my own way.
