2,i tell jokes on stage.,i date a lot of girls.,"Great, does that get you a lot of ladies? I love meeting new women.",I like to laugh but sometimes I have to move on.,I'm tired of jokes.  I need to move on.,I used to be good at jokes.  I moved into an apartment and I'm happy now because I can laugh.,I need to make some money.,Sometimes I need to take a break from my apartment and just relax with a movie.
3,i tell jokes on stage.,i date a lot of girls.,I talk about the women I have dated in my jokes.,"I love doing that, especially when I am joking with my friends about how nature created us.","That's cool, do you have any other hobbies?","That's cool, I'd like to do that one day.  I like to walk through nature, do you like to do that?",Sometimes I like to joke about nature in my routine.,I like to joke around with my friends.
4,i enjoy eating to match my work out.,"i eat healthy and do not eat cakes , candy or sweets.",Food keeps me healthy.,I bake when I am not working out.,I like to eat warm and to match my work out.,So you eat at my place right after work out? Or are you just a baker?,I eat when I'm working out.,I like to eat out when I'm at the gym.
5,i enjoy eating to match my work out.,"i eat healthy and do not eat cakes , candy or sweets.","Eating healthy is good for your body.  I don't eat cakes, candy, or sweets.",I eat when I'm exercising so I don't gain weight.,I eat when I'm working out so that I look bigger.,It's good to have a break from the menu.,I eat too much so I need to work out.  I work in a kitchen so I make software.,"I need to eat to stay in shape, so I always eat a big lunch before hand to keep up."
6,i enjoy eating to match my work out.,"i eat healthy and do not eat cakes , candy or sweets.",I look for protein after exercising.,"I love it too, but it requires a medical condition that I cannot get rid of.",My favorite snacks are pizza and wings.,I exercise my right to exercise because I work out.,I get so fat because of my job.,I exercise my right as a citizen when I go to the gym.
8,i work as a scientist.,my parents were scientists.,I think what our parents do has a great effect on what career we choose.,I have a lot of work to do as a scientist.,Working as a scientist is very rewarding.  I like to spend my free time outside.,When I am not working I like to take nature hikes.,I like the idea of working with other people.,I have to study the human body in order to understand how it works.
9,i have my own salon.,i live on a boat.,There is a person who runs a salon from his boat.,I want to work in a tech salon as a tech guy.,I also have a salon.  I want to work in tech.,I work in a tech startup company.,It's a beauty salon.,I like to make other people laugh.
10,i like steak.,apartment living was nice but it is time to move on.,"I prefer chicken over steak. So where are you moving? To another apartment, or are you getting a home?",I'm trying to cut back on carbs.,I work at a restaurant now.,I only eat steak at work now because I work at a library.,I work at the library now.,I used to eat so much steak when I worked at the library.
11,i like steak.,apartment living was nice but it is time to move on.,"I only like my steak grilled, but I haven't had an outdoor grill what with living in an apartment. Maybe it's time I moved into a place with a lawn.",I like to cook steak with my parents.,My mom and dad like to cook meals.,My mom makes the best steak I've ever had.,My parents both love steak but only my mom cooks it for me.,I have to bring my own steaks to school.
12,i like steak.,apartment living was nice but it is time to move on.,I live in a great neighborhood with a nice steakhouse around the corner.,"I don't really like to cook, I'm more of a salad kind of girl.",I love to cook with steak.,I have to go to the store to get a good steak.,Whenever I can I go shopping.,I usually go to the steak place after I shop.
13,i went past my masters and have higher qualifications in the books and letters of rome.,my sibling believes they are a buccaneer.,I have high qualifications in pirate history.,I wish I was an artist.  I really do.,I am a writer who works for a company that makes books and has higher qualifications in the books and letters of Rome.,I can't wait to work for myself.,I am a professor at the college of Rome.,"You have higher qualifications in the books and letters of Rome than I do, and I work for myself."
14,i went past my masters and have higher qualifications in the books and letters of rome.,my sibling believes they are a buccaneer.,I think people should live like their school mascot.,I want to go to Rome now but I am a scaredy cat and won't go alone.,I have a higher qualification in the book and letters of Rome than most people I know.,I like to go shopping when I'm not studying.,I like to go shopping so much that I even bought a new robe to match my new college education.,I have higher qualifications in Rome because I studied the history books and studies of the time.
15,i went past my masters and have higher qualifications in the books and letters of rome.,my sibling believes they are a buccaneer.,"I was lucky to even make it to college, as it wasn't a priority in my family.",I got a new car and I paid for it with my Masters.,I have a higher qualification in the books and letters of Rome than I do in my car.,I am currently looking for a new car.,I love my new car.,"I would love to drive my car to school, but I have to rent it."
16,i am happy a lot of the time.,"lina , my greyhound , is a source of constant affection.",Most of the times I’m happy because of the constant affection from my dog Lena.,Being determined is a huge plus for me in life.,Sometimes I think I'm determined because I always find a way to get things done.,Being determined is important in life.,Being determined gets me far in life.,Being determined is one of my greatest strength and weakness.
17,i am happy a lot of the time.,"lina , my greyhound , is a source of constant affection.",I am happiest when I am hanging out with my dog.,I like to sing at the gym when i'm happy which is why I'm a great singer.,I am happy a lot of the time because I can mimic a lot of different voices.,I find happiness by mimicking different voices.,I am happy a lot of the time because I can mimic a lot of different voices.,I am happy a lot of the time as well.  I even do voice work for a living.
18,i am happy a lot of the time.,"lina , my greyhound , is a source of constant affection.",having pets helps in making me happy,I am happy a lot of the time because I am happy.  I am a happy buccaneer.,I am happy a lot of the time because I'm happy a lot of the time.  Being a buccaneer is what I love about life.,I am happy a lot of the time too.  I have a few buddies that think they are a buccaneer though.,I love to be a buccaneer when I'm happy.,I am happy when I am not stressed.  I love to relax on the weekends.
20,i would like to work for the smithsonian.,i hate winter and the cold.,I have a dream of working in Yellowstone National Park during the winter.,If I had the money to blow I'd do it.  I need to get into music and I love pop punk.,I would love to work for the Smithsonian.  That's why I like listening to music.,I listen to a lot of pop punk music when I'm on break from work.,I would love to work for the Smithsonian but I'm currently unemployed.,I would like to work in the Smithsonian but I don't have the time to commute every day and I don't like to commute.
21,i would like to work for the smithsonian.,i hate winter and the cold.,"I wouldn't want to work in D.C., though.",I would love to work for the Smithsonian.  It would give me a chance to meet some of the greats.,I used to work for the smithsonian but gave up because I was afraid of getting fired.  Now I work for myself.,I have a toy vehicle that I got from my father's job.,I don't like working.  I like playing football and going to concerts.,I used to work at the Smithsonian when I was a kid.  I have since been retired and have moved on to a bigger building.
22,i would like to work for the smithsonian.,i hate winter and the cold.,It'd be nice to be in Washington - the weather's usually pretty good there.,I would love to work for the Smithsonian but I am not into eating or even living in the same space as the food.,I would love to work for the Smithsonian.,I am trying to stay away from meat and cheese.,I would love to work for the Smithsonian.  I think that would be a great career for me.,It's probably because of my diet I'm so poor that I have to work so hard to even get by.
23,i hate overtime.,i take care of people.,I believe my recent career change helped me not to mind longer hours.,I work from home so I can get by on my free time.,I would rather work for free than work overtime.,I work almost every day and save money by not working.,I don't like to work overtime.  I enjoy spending time with my chocolate bars and gummy bears.,I love overtime and I hate it.
24,i hate overtime.,i take care of people.,I hate when I have to work overtime.  I have to take care of my crew and make sure they don't get overtired.,It makes me sad that I have to work overtime.,I would rather work hours than work overtime.,I don't really like working overtime.  I just want to eat healthy.,I am too much of a farmer to work.,I work for a supermarket.
25,i hate overtime.,i take care of people.,I don't like overtime either becuse I would rather spend my time doing what I like to do which is taking care of people.,It is a terrible thing to do to a person's pay.,I hate when I have to work overtime.  If I don't work overtime I spend all my money on hobbies.,I get paid a lot of hours and it bugs me that I get to decide what my hours are.,If I don't get a raise I'm going to quit.,"I don't either, I'd rather spend my free time getting to know people."
26,my canines stay at my residence alone when i travel to see family.,i own a car.,I don't have any pets.  I don't think I'd like them in my car.,When I travel to see my family I let my dog inside my house.,"Sometimes I am able to take my dog with me, too, since my job is also in an organizational setting.","I don't have any dogs, but I take my canine with me when I go to see family.",If I were going to travel I'd take my dog with me.,My dogs stay with me when I travel to see family.
27,my canines stay at my residence alone when i travel to see family.,i own a car.,"It's a new car and I won't let my dog inside because he'll get hair everywhere, so he also has to stay home alone when I go driving.",My dogs stay with me when I go see family.,My dogs stay at my residence alone when I go to see my family.,My dogs stay at my residence alone when I travel to see family.,"My dogs are my home dogs, as are my cats.",My family has oil rigs on their land.
28,my canines stay at my residence alone when i travel to see family.,i own a car.,My dogs simply cannot come with me.  They are too big for my small car.,When I visit my family I bring my dog with me because I don't want to cook for him.,I don't eat meat.,I can't bring my dog with me.,They have to go to get their food.,If I were to ever travel out of the state I would not go to a pet store.
29,i am a woman.,we have a dog.,I am a female pet lover.,I think I would make a great woman.,I am a woman who has made bad choices in the past.,I have made a bad choice in the past.,"If I were a man who made bad choices in the past, I would not be a woman.",I think that women make bad choices in the past.
30,i try to keep active.,i am a server on the weekends.,"That's cool, I like to bike to work to be more active, what do you do for work?",I also like to be healthy.  Some things I should have considered before choosing my skin tone.,I like to dress up when I go to the gym.,I exercise before and after work and have nice looking skin.,I try to incorporate makeup into everything I do.,I really like to look good for my skin tone.
31,i try to keep active.,i am a server on the weekends.,Keeping active is very important.  That is why on the weekends I work as a server since it keeps me moving.,I've always been really active in the gym and have been working out a lot recently.,I eat healthy even though I exercise.,I like to eat healthy and exercise.,I eat a lot of sushi and exercise because it helps keep me in shape.,I eat a meal before I start exercising.
33,i have a lot of kids.,i am making a scarf for my daughter.,This year I will be making scarfs for all my daughters and hats for the boys.,I am always in charge of my parents company.,My mom and dad both work in the healthcare industry with their kids.,I think I'm going to start having kids soon and that's where my business comes from.,I also have a lot of kids.,My parents have a lot of kids and they all work at my job.
34,i have a lot of kids.,i am making a scarf for my daughter.,I make scarfs for my kids.,We have a lot of kids but we also have an odd animal instead of a normal cat or dog.,My kids all have odd pets or even exotic pets.,I am a parent twice my age than most of my kids.,I feed my kids cat and dog food.,We don't have a lot of space for pets.
35,i have a lot of kids.,i am making a scarf for my daughter.,I guess the cool thing about having kids is that they are like little people/adults in a sense.,I have a lot of kids and they're a lot of fun to drive.,I don't have any kids but I do have a large vehicle.,I want them to drive me around.,If I don't have any kids in the future I won't be able to afford a big vehicle.,My kids are my babies.  One day they'll be old enough to drive and I can take them for rides in my new big truck.
36,i have a lot of kids.,i am making a scarf for my daughter.,I like to make things for my kids.,I have a lot of pets.  One of them is a huge dog.,I love having kids.,I was tired of having to carry all the kids to school.,My kids and I get along well.,Having a lot of kids is good for the health of the body and the mind.
